,Time Stamp,CH4 (ppm),C2H6 (ppb),R,C2/C1,ch4Enhcmt,totDist,length,lrate,npeaks,Latitude,Longitude,POLYGON,LEAKNUM,Unnamed: 0,PolyLK
0,07/08/2020 22:55:06.708,2.2702,17.835,0.988,0.018000000000000002,0.27699999999999997,321.5,14,4.3,3,33.641532899999994,-86.724823,P19,0,0,P19L0
1,07/08/2020 23:00:16.980,2.30348,14.539000000000001,0.8440000000000001,0.01,0.29,309.1,14,56.4,2,33.61488342,-86.74195862,P19,1,1,P19L1
2,07/10/2020 22:29:22.484,2.2103200000000003,1.285,0.7929999999999999,0.006,0.325,211.7,12,37.9,2,33.60791016,-86.74339294,P19,2,2,P19L2
3,07/10/2020 22:35:52.936,2.1884,3.0810000000000004,0.903,0.006999999999999999,0.293,185.4,7,12.7,1,33.64453888,-86.7223587,P19,3,3,P19L3
4,07/10/2020 22:35:57.032,2.21506,3.1660000000000004,0.807,0.004,0.32,198.9,9,17.4,2,33.64520264,-86.72180176,P19,4,4,P19L4
5,07/08/2020 23:02:18.836,2.2065200000000003,11.618,0.753,0.013000000000000001,0.163,78.6,5,2.2,1,33.60208893,-86.73505402,P19,5,5,P19L5
6,07/10/2020 22:22:08.308,2.07298,0.36700000000000005,0.809,0.011000000000000001,0.166,183.2,10,7.2,1,33.64408875,-86.72297668,P19,6,6,P19L6
7,07/10/2020 22:30:09.588,1.97805,2.399,0.852,0.02,0.09300000000000001,303.3,16,3.2,1,33.61267853,-86.74315643,P19,7,7,P19L7
8,07/10/2020 22:31:02.836,1.9148,0.907,0.76,0.015,0.03,158.2,7,0.6,1,33.62131882,-86.73635101,P19,8,8,P19L8
9,07/10/2020 22:32:09.601,2.01363,1.982,0.88,0.013999999999999999,0.12,236.1,14,1.1,1,33.63178635,-86.72901154,P19,9,9,P19L9
10,07/10/2020 22:36:27.752,2.02555,4.456,0.8290000000000001,0.016,0.131,309.4,14,9.7,1,33.65004349,-86.71764374,P19,10,10,P19L10
11,07/10/2020 22:40:02.792,1.96425,3.9939999999999998,0.779,0.013000000000000001,0.055,124.2,5,0.7,1,33.6241951,-86.73412323,P19,11,11,P19L11
12,07/10/2020 22:41:50.312,2.0611900000000003,7.8839999999999995,0.8420000000000001,0.02,0.147,282.1,12,2.7,1,33.6124115,-86.74354553,P19,12,12,P19L12
13,07/10/2020 22:46:19.624,2.10602,13.761,0.925,0.012,0.17800000000000002,110.9,5,5.0,1,33.62909317,-86.73008728,P19,13,13,P19L13
14,07/10/2020 22:46:25.768,2.0461,12.671,0.79,0.008,0.11800000000000001,167.4,7,3.3,1,33.63020325,-86.72963715,P19,14,14,P19L14
15,07/10/2020 22:47:37.448,2.04521,13.449000000000002,0.759,0.005,0.115,124.9,5,2.0,1,33.64324188,-86.72341156,P19,15,15,P19L15
16,07/13/2020 21:55:37.564,2.31305,7.855,0.997,0.027999999999999997,0.374,258.5,23,5.3,1,33.63211441,-86.7288208,P19,16,16,P19L16
0,07/13/2020 22:18:56.246,2.82858,18.791,0.997,0.012,0.882,238.5,17,43.1,1,33.65260315,-86.72501373,P20,0,0,P20L0
1,07/10/2020 23:13:51.131,2.53979,10.567,0.968,0.009000000000000001,0.57,259.9,20,91.5,2,33.65024567,-86.72343445,P20,1,1,P20L1
2,07/10/2020 23:13:21.435,2.6065,11.610999999999999,0.9690000000000001,0.009000000000000001,0.637,138.5,10,12.8,3,33.65358734,-86.72557831,P20,2,2,P20L2
3,07/10/2020 23:26:04.417,2.33208,11.222000000000001,0.799,0.027000000000000003,0.332,64.9,10,5.4,2,33.65892410000001,-86.72081757,P20,3,3,P20L3
4,07/10/2020 23:02:32.219,8.39257,96.436,0.9990000000000001,0.013999999999999999,6.444,192.9,20,17.4,3,33.65610886,-86.71117401,P20,4,4,P20L4
5,07/08/2020 23:52:23.969,2.03798,2.11,0.867,0.019,0.081,139.0,10,1.4,1,33.65628433,-86.72457123,P20,5,5,P20L5
6,07/10/2020 23:21:41.249,2.19233,9.394,0.7509999999999999,0.026000000000000002,0.156,27.0,6,0.3,1,33.65613556,-86.7229538,P20,6,6,P20L6
7,07/13/2020 22:06:42.652,2.0146,4.732,0.795,0.026000000000000002,0.0,106.4,6,0.1,1,33.65709686,-86.71269226,P20,7,7,P20L7
8,07/13/2020 22:23:57.609,2.26688,11.972999999999999,0.9440000000000001,0.011000000000000001,0.29100000000000004,233.5,20,7.9,1,33.65177155,-86.72451782,P20,8,8,P20L8
0,07/09/2020 00:46:58.004,3.01818,9.892000000000001,0.993,0.006999999999999999,1.058,213.4,28,55.8,3,33.66760635,-86.70197296,P21,0,0,P21L0
1,07/10/2020 23:56:40.552,6.0820099999999995,33.385,0.9990000000000001,0.006999999999999999,4.082,176.1,22,41.2,2,33.68152237,-86.69111633,P21,1,1,P21L1
2,07/11/2020 00:38:28.737,2.64538,1.834,0.9690000000000001,0.005,0.644,192.9,25,20.4,2,33.67665482,-86.69676209,P21,2,2,P21L2
3,07/09/2020 00:36:42.580,3.1555400000000002,13.625,0.9890000000000001,0.006,1.196,154.4,17,11.6,2,33.67454147,-86.69634247,P21,3,3,P21L3
