,Time Stamp,CH4 (ppm),C2H6 (ppb),R,C2/C1,ch4Enhcmt,totDist,length,lrate,npeaks,Latitude,Longitude,POLYGON,LEAKNUM,PolyLK,Unnamed: 0,win
0,07/23/2020 03:52:56.532,2.65955,1.867,0.985,0.011000000000000001,0.674,157.0,16,11.6,6,33.62001038,-86.66644287,P32,1,P32L0,0,True
1,07/23/2020 03:55:03.508,3.1204400000000003,1.172,0.981,0.006,1.135,139.8,8,20.7,3,33.62322617,-86.66812897,P32,2,P32L1,1,True
2,08/11/2020 22:04:29.110,2.15577,7.3229999999999995,0.9129999999999999,0.012,0.22899999999999998,281.0,16,9.5,2,33.62958527,-86.66613007,P32,3,P32L2,2,True
3,07/27/2020 21:59:47.401,3.49537,9.692,0.988,0.005,1.568,103.1,13,28.8,6,33.6241684,-86.66764069,P32,4,P32L3,3,True
4,07/27/2020 22:36:06.268,2.17391,14.687999999999999,0.976,0.025,0.247,176.0,25,1.9,2,33.61398315,-86.67837524,P32,5,P32L4,4,True
5,08/11/2020 22:02:16.707,3.1059,18.327,0.996,0.01,1.179,202.6,12,33.5,2,33.63997269,-86.65814209,P32,6,P32L5,5,True
6,07/23/2020 03:55:48.667,2.06445,-4.2860000000000005,0.8079999999999999,0.006999999999999999,0.138,119.9,7,0.8,1,33.63017654,-86.66567993,P32,7,P32L7,7,True
7,07/27/2020 21:53:08.860,2.01666,4.109,0.887,0.027999999999999997,0.059000000000000004,203.5,13,0.7,1,33.61124802,-86.68177795,P32,8,P32L8,8,True
8,07/27/2020 22:03:18.345,1.98365,0.807,0.882,0.005,0.064,119.7,7,0.5,1,33.6391983,-86.65877533,P32,9,P32L9,9,True
9,07/27/2020 22:17:31.644,2.42448,-1.093,0.9259999999999999,0.005,0.48100000000000004,130.4,20,3.5,1,33.64056778,-86.66087341,P32,10,P32L12,12,True
10,07/27/2020 22:19:16.092,2.0131900000000003,-1.097,0.9309999999999999,0.07200000000000001,0.079,129.2,17,0.5,1,33.64189148,-86.65657806,P32,11,P32L13,13,True
11,08/11/2020 21:47:34.633,2.25668,10.905,0.794,0.008,0.319,34.0,10,0.8,1,33.62252808,-86.66811371,P32,12,P32L15,15,True
12,08/11/2020 21:54:54.339,1.9696900000000002,8.804,0.772,0.054000000000000006,0.015,46.7,5,0.1,1,33.64816666,-86.65415192,P32,13,P32L16,16,True
13,08/11/2020 22:08:50.230,2.03098,5.792000000000001,0.885,0.069,0.109,114.6,9,1.4,1,33.62242508,-86.66993713,P32,14,P32L17,17,True
0,07/27/2020 23:27:12.944,2.0411200000000003,14.198,0.757,0.016,0.061,14.1,9,0.0,1,33.634708399999994,-86.66763306,P33,1,P33L2,2,True
1,07/27/2020 23:30:20.336,2.3311,15.556,0.9309999999999999,0.006,0.368,133.7,12,3.6,1,33.63472366,-86.66883087,P33,2,P33L3,3,True
2,08/11/2020 22:57:10.403,2.06651,-0.32799999999999996,0.9129999999999999,0.07200000000000001,0.061,82.5,8,0.6,1,33.63064194,-86.67378235,P33,3,P33L4,4,True
3,08/11/2020 22:59:49.123,2.0522099999999996,-0.7659999999999999,0.8029999999999999,0.059000000000000004,0.025,43.1,6,0.0,1,33.63017654,-86.67326355,P33,4,P33L5,5,True
4,08/11/2020 23:01:26.505,2.05214,-0.9,0.9129999999999999,0.042,0.052000000000000005,51.6,12,0.2,1,33.63112259,-86.67150116,P33,5,P33L6,6,True
5,08/11/2020 23:03:25.289,2.09064,-0.932,0.795,0.040999999999999995,0.09,18.2,8,0.0,1,33.63006592,-86.6727066,P33,6,P33L7,7,True
6,08/11/2020 23:03:52.937,2.08866,-1.72,0.753,0.012,0.08800000000000001,54.9,7,0.2,1,33.63028336,-86.67234039,P33,7,P33L8,8,True
7,08/11/2020 23:12:57.910,2.30288,1.969,0.777,0.006,0.258,95.3,6,3.0,1,33.63848114,-86.66869354,P33,8,P33L9,9,True
8,08/11/2020 23:14:36.419,2.21303,3.307,0.9640000000000001,0.025,0.16399999999999998,41.6,8,0.5,1,33.63912582,-86.66616058,P33,9,P33L10,10,True
9,08/11/2020 23:31:59.260,2.11409,6.292999999999999,0.898,0.085,0.053,58.3,11,0.2,1,33.63212967,-86.67543793,P33,10,P33L13,13,True
10,08/20/2020 23:34:02.934,1.98784,7.675,0.981,0.079,0.05,204.1,22,0.6,1,33.636680600000005,-86.67147827,P33,11,P33L15,15,True
11,08/20/2020 23:58:25.820,1.96317,6.17,0.8390000000000001,0.051,0.015,49.2,5,0.1,1,33.63095093,-86.67111206,P33,12,P33L16,16,True
0,07/28/2020 00:29:32.592,3.58566,8.86,0.9670000000000001,0.003,1.594,165.4,19,24.9,5,33.64191818,-86.66075134,P34,1,P34L0,0,True
1,07/28/2020 00:47:50.524,2.5791,3.7689999999999997,0.894,0.004,0.573,127.5,14,5.9,3,33.64457321,-86.68061829,P34,2,P34L1,1,True
2,08/12/2020 00:15:24.009,2.3090599999999997,9.043,0.92,0.016,0.261,37.0,11,1.8,2,33.64564514,-86.68057251,P34,3,P34L2,2,True
3,08/11/2020 23:50:39.312,2.1223799999999997,9.6,0.846,0.06,0.073,102.9,12,0.6,2,33.63981628,-86.67071533,P34,4,P34L3,3,True
4,08/11/2020 23:52:06.352,2.16466,6.535,0.765,0.005,0.134,89.3,6,1.5,2,33.64012909,-86.67221832,P34,5,P34L4,4,True
5,08/11/2020 23:52:23.760,4.11483,16.182000000000002,0.99,0.005,2.084,197.7,14,71.5,3,33.63996506,-86.66960144,P34,6,P34L5,5,True
